sentence_id,sentence,target_text,role,confidence,embedded_entities,resolved_mentions,sentiment_label
s0199,“Chelsea Manning’s treachery put American lives at risk and exposed some of our nation’s most sensitive secrets.,Chelsea Manning’s treachery,subject,medium,Chelsea Manning’s,,
s0390,"However, he has endorsed Mr. Trump’s proposals to cut taxes and reduce federal regulations, and he has criticized Mrs. Clinton’s tax plan for increasing a variety of taxes.",a variety of taxes,object,high,,,
s0144,Horowitz said that “the Swedish response” suggests “they are incapable or unwilling to see the reality of what is happening in their own country.”,what,subject,medium,,,
s0072,Four reasons why Neil Gorsuch may be even better on the Supreme Court than Antonin Scalia,Neil Gorsuch,entity,low,,Neil Gorsuch,
s0009,Trump accepted Dubke’s offer to stay while on his first overseas trip as president this month.,Dubke,entity,low,,Dubke,
s0397,"Ms. Machado was being paid to look perfect, and when she couldn’t -- or wouldn’t -- live up to the standard she had asked to be measured by, she caught criticism.",perfect,object,medium,,,
s0055,"Here are the top 10 anti-Trump shifts, with Georgia's 6th at No.",Georgia,entity,low,,Georgia,
s0014,"“The leaders did want to know what his time frame was, and [Mr. Trump] said, look, ‘This is something where I want to get to the right decision.",Mr. Trump,subject,high,Trump,,
s0352,"Mr. Trump has a long history of threatening and occasionally following through on litigation, and in raising the possibility of suing his female accusers, he may have simply been trying to stop more from coming forward.",the possibility of suing his female accusers,object,high,,,
s0058,"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Steve Stephens,object,medium,,Steve Stephens; him; his,
s0480,"""He stopped me quickly and strongly denied that,"" Lauer said.",Lauer,subject,high,,Lauer,
s0390,"However, he has endorsed Mr. Trump’s proposals to cut taxes and reduce federal regulations, and he has criticized Mrs. Clinton’s tax plan for increasing a variety of taxes.",federal regulations,object,high,,,
s0213,"Her comments were met with applause, tears and support by her fellow actors in the audience, and actor Chris Pine called her speech the ""best message of tonight.""",Her comments,subject,high,,,
s0234,"""All of us in leadership have to find ways in which we can recreate a common space on the internet,"" said Obama, warning of a ""Balkanization"" of society.",ways in which we can recreate a common space on the internet,object,medium,,,
s0373,Ana Navarro: Time for GOP to Disavow Donald Trump,Navarro,entity,low,,Navarro,
s0202,"Mr. Neal added that while other presidents, like Ronald Reagan and Bill Clinton, may have imposed policies that hurt black communities, they were more sensitive to issues of race.",policies that hurt black communities,object,high,,,
s0071,"But neither side harbored any doubts, based on the judge’s opinions, other writings and the president who nominated him, that Judge Gorsuch would be a reliable conservative committed to following the original understanding of those who drafted and ratified the Constitution.",any doubts based on the judge’s opinions that Judge Gorsuch would be a reliable conservative committed to following the original understanding of those who drafted and ratified the Constitution,object,medium,Gorsuch; Constitution,,
s0058,"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Pennsylvania State Police,subject,high,,Pennsylvania State Police; they,
s0198,WILL WIKILEAKS’ JULIAN ASSANGE MAKE GOOD ON HIS OFFER TO TURN HIMSELF IN AFTER MANNING CLEMENCY?,JULIAN ASSANGE,subject,medium,,,
s0039,"Not sure I would have been President w/o his great talent, loyal help.",President,noun_phrase,low,,,
s0239,"The debate over motivation, he said “does not in any way, I think, detract from the basic point that everyone during the election perceived accurately – that in fact what the Russian hack had done was create more problems for the Clinton campaign than it had for the Trump campaign”.",what,object,medium,,,
s0211,"[ Read Meryl Streep’s Golden Globes speech ] The Globes were the last high-profile Hollywood event before Mr. Trump’s inauguration on Jan. 20, a transfer of power that many in the entertainment industry have bemoaned.",The Globes,subject,high,Globes,,
s0297,"At the very least, the next G7 meeting scheduled for May in Sicily is going to look very different from the one Obama attended in Japan this past spring.",the next G7 meeting scheduled for May in Sicily,subject,medium,G7; Sicily,,
s0181,"Gorsuch, despite a reportedly mild-mannered temperament, is known for his anti-choice and anti-LGBT stances, pro-employer rulings in labor disputes, anti-regulatory attitudes, dismissal of scientific expertise, and pro-police bias in brutality cases, according to statements from public interest groups issued after the announcement.",a reportedly mild-mannered temperament,noun_phrase,low,,,
s0006,"Clinton also looked to social media, saying sites like Facebook and Twitter have been ""victimized by deliberate efforts to shape the conversation and push it towards conspiracies, lies, false information.""",sites like Facebook and Twitter,subject,medium,Facebook; Twitter,,
s0415,"""It's unfair to ask for Hillary both to play traffic cop while with Trump, make sure that his lies are corrected, and also to present her vision for what she wants to do for the American people,"" Mook said.",Mook,subject,high,,Mook,
s0231,"And so, when Syrian strongman Bashar al-Assad massacred up to 400,000 people by dropping barrel bombs on civilian neighborhoods, shelling hospitals, and imposing sieges of cities to starve out the inhabitants, the Obama administration stood very, very idly by.",sieges of cities,object,high,,,
s0276,"Eileen Murphy, a spokeswoman for the paper, confirmed that Mr. Trump’s staff told them the meeting was on again.",Mr. Trump’s staff,subject,medium,Trump,,
s0461,"Even before that, he complained about Mexico on Twitter, in part because he won a lawsuit in the country but hasn't been able to collect.",a lawsuit,object,medium,,,
s0051,"Oprah Winfrey and partner Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22, 2015.",Oprah Winfrey,entity,low,,Oprah Winfrey,
s0080,"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",his backing of the nuclear ' Reid Rule ',object,high,,,
s0206,"“We will continue on the path of reform, because that is the path of progress,” he said.",the path,noun_phrase,low,,,
s0289,"Trump Picks Jeff Sessions, Senator Accused Of Racism, For Attorney General",Trump Picks Jeff Sessions,entity,low,,Trump Picks Jeff Sessions,
