sentence_id,sentence,target_text,role,confidence,embedded_entities,resolved_mentions,sentiment_label
s0153,"“Either General Flynn lied to the administration or the administration lied to the American people,” said Mr. Engel, New York Democrat.",Mr. Engel,subject,high,Engel,,
s0222,"He blamed the ""dishonest media"" for portraying him as agreeing with Assange.",the dishonest media,object,medium,,,
s0244,Mr. McCain withdrew his endorsement in October when an 11-year-old videotape surfaced in which Mr. Trump was caught on a hot mic using vulgar language about women.,an 11 - year - old videotape,subject,medium,,,
s0009,Trump accepted Dubke’s offer to stay while on his first overseas trip as president this month.,Dubke,entity,low,,Dubke,
s0342,"Former House Speaker Newt Gingrich (R-Ga.) accused Fox News host Megyn Kelly of being “fascinated by sex” on Tuesday, after snapping at her for asking about the women who have accused Republican presidential nominee Donald Trump of sexual assault.",Republican presidential nominee,object,medium,Republican,,
s0390,"However, he has endorsed Mr. Trump’s proposals to cut taxes and reduce federal regulations, and he has criticized Mrs. Clinton’s tax plan for increasing a variety of taxes.",a variety of taxes,object,high,,,
s0353,"At her rally Saturday in Pennsylvania, Mrs. Clinton devoted much of her remarks to the state’s contentious Senate race, giving an extended plug to the Democratic candidate, Katie McGinty, and attacking the Republican incumbent, Senator Patrick J. Toomey, for not denouncing Mr. Trump for his vulgar remarks about women captured in a recording.",Mrs. Clinton,subject,medium,Clinton,,
s0072,Four reasons why Neil Gorsuch may be even better on the Supreme Court than Antonin Scalia,Neil Gorsuch,entity,low,,Neil Gorsuch,
s0436,"“I didn't tell Hillary to have a private server at home, connected to the Clinton Foundation, two contractors, took away 60,000 emails, had her own domain,” Powell said in one Feb. 4 email to former Reagan White House chief of staff Kenneth Duberstein, in the latest cache of hacked communications among top Washington insiders to emerge in the heat of this year’s presidential campaign.",her own domain,object,medium,,,
s0181,"Gorsuch, despite a reportedly mild-mannered temperament, is known for his anti-choice and anti-LGBT stances, pro-employer rulings in labor disputes, anti-regulatory attitudes, dismissal of scientific expertise, and pro-police bias in brutality cases, according to statements from public interest groups issued after the announcement.",a reportedly mild-mannered temperament,noun_phrase,low,,,
s0055,"Here are the top 10 anti-Trump shifts, with Georgia's 6th at No.",Georgia,entity,low,,Georgia,
s0160,"Manchin, who threw Sessions a thumbs-up on Wednesday night as he headed to place his vote, added that he was confident that when he addressed his constituents, “I can explain my relationship with Jeff Sessions and I’m proud to vote for him.”",his vote,object,medium,,,
s0099,Senate Minority Leader Chuck Schumer called on House Speaker Paul Ryan to replace Nunes after news broke that the California House Republican visited the White House to view sensitive material related to Obama era surveillance of the Trump transition team one day before he discussed the topic with reporters last week.,Senate Minority Leader Chuck Schumer,subject,medium,Senate; Chuck Schumer,,
s0352,"Mr. Trump has a long history of threatening and occasionally following through on litigation, and in raising the possibility of suing his female accusers, he may have simply been trying to stop more from coming forward.",the possibility of suing his female accusers,object,high,,,
s0027,These mixed messages are one reason a recent poll fell from 80 percent of Israelis who believed Trump was pro-Israel to 56 percent now.,These mixed messages,subject,high,,,
s0469,"But consider what she is saying: if you speak honestly about problems in the black community, you are racist.",problems,noun_phrase,low,,,
s0202,"Mr. Neal added that while other presidents, like Ronald Reagan and Bill Clinton, may have imposed policies that hurt black communities, they were more sensitive to issues of race.",policies,object,high,,,
s0373,Ana Navarro: Time for GOP to Disavow Donald Trump,Navarro,entity,low,,Navarro,
s0113,"On NBC’s “Today,” Conway repeatedly tried to move away from the subject, when asked why Trump continues to make unfounded claims and spread conspiracy theories, such as his infamous suggestion that Obama was not born in the United States.",Obama,subject,medium,,Obama,
s0370,"Trump fired back on Twitter: “Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee.”",his time,object,medium,,,
s0206,"“We will continue on the path of reform, because that is the path of progress,” he said.",the path,noun_phrase,low,,,
s0039,"Not sure I would have been President w/o his great talent, loyal help.",President,noun_phrase,low,,,
s0289,"Trump Picks Jeff Sessions, Senator Accused Of Racism, For Attorney General",Trump Picks Jeff Sessions,entity,low,,Trump Picks Jeff Sessions,
