sentence,target,polarity
Winner wrote that she had a 30-minute private meeting with the Republican lawmaker’s state policy director.,Winner,4.0
She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.,She,2.0
She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.,President Trump,2.0
"Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.",Hillary Clinton,2.0
"Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.",Facebook,2.0
"(RELATED: The 44 Most Damning Stories From WikiLeaks) During the same event, Clinton also attacked Facebook, Twitter bots, The New York Times, Steve Bannon, and the media in general.",WikiLeaks,4.0
"(RELATED: The 44 Most Damning Stories From WikiLeaks) During the same event, Clinton also attacked Facebook, Twitter bots, The New York Times, Steve Bannon, and the media in general.",Clinton,2.0
"Hillary Clinton takes ""responsibility"" for loss, but says others contributed",Clinton,2.0
"Clinton also looked to social media, saying sites like Facebook and Twitter have been ""victimized by deliberate efforts to shape the conversation and push it towards conspiracies, lies, false information.""",Clinton,4.0
"Trump's unhinged Twitter attacks, frequent off-the-cuff remarks, slurring and very peculiar drinking habits have led to some psychiatrists, mental-health experts and administration critics to call the president's mental stability into question, as the Salon video below notes.",Trump,2.0
"Hillary Clinton continues to face fire for alleged pay-for-play schemes involving her work while secretary at the State Department and simultaneous affiliation with the Clinton Foundation, and for the curious Uranium One dealings with Russia she helped shape while serving under Barack Obama.",Hillary Clinton,2.0
Trump accepted Dubke’s offer to stay while on his first overseas trip as president this month.,Trump,4.0
"“The reasons for my departure are personal, but it has been my great honor to serve President Trump and this administration,” Dubke, 47, wrote in an email to friends, according to Politico.",Trump,6.0
"President Donald Trump hurled more jabs at the ""fake news media"" Sunday morning, describing White House ""leaks"" as ""fabricated lies"" and saying stories with ""sources say"" make it ""very possible"" those ""sources don't exist"" and are made up by ""fake news writers.""",President Donald Trump,2.0
"It was a familiar morning for Mr. Trump on his favored medium — and for a nation that had, for a little more than a week, gone without the president’s stream-of-consciousness missives.",Mr. Trump,2.0
But he seemed on Sunday to be as aggrieved as ever by what he considers unfair news coverage.,Sunday,4.0
"“The leaders did want to know what his time frame was, and [Mr. Trump] said, look, ‘This is something where I want to get to the right decision.",[Mr. Trump],4.0
"(Reuters/Mike Segar) Kushner “has been incredibly successful, in both business and now politics.",(Reuters/Mike Segar) Kushner “,6.0
"Aside from government innovation, Kushner has acted as a sort of “shadow secretary of state” in the Trump administration, a source told Politico in February.",Trump,2.0
“Mr. Kushner and we have been responsive to all requests.,Kushner,6.0
"Kushner married Ivanka Trump, the president’s eldest daughter, in October 2009 at the Trump National Golf Club in Bedminster, N.J. Jared Kushner and Ivanka Trump, the president's daughter, married in 2009.",Trump,4.0
Harleen Kahlon was an experienced digital media maven when she was hired by Kushner in 2010 to boost the paper’s digital outreach.,Harleen Kahlon,6.0
"“He would compensate his lack of knowledge by saying stuff like, ‘Let’s just blow up the whole concept of digital.’",He,2.0
"During the campaign, Mr. Gianforte embraced Mr. Trump, who won the state by more than 20 percentage points in the November election.",Mr. Gianforte,4.0
"His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”",His,2.0
"His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”",Jacobs,2.0
"He said he was approached by Jacobs, who asked questions about the Obamacare reform bill.",He,4.0
"Gianforte said he first told Jacobs he’d talk to him later, and then told Jacobs to speak with his spokesman.",Jacobs,4.0
Jacobs: “You just body-slammed me and broke my glasses.”,Jacobs,4.0
"Word is, Gianforte grabbed the guy, Ben Jacobs of the Guardian, with both hands by the neck and body slammed him to the ground, where he proceeded to jump atop him and pound him with fists.",Ben Jacobs,4.0
These mixed messages are one reason a recent poll fell from 80 percent of Israelis who believed Trump was pro-Israel to 56 percent now.,Israelis,4.0
Yet Evans believes Trump will keep his promise.,Trump,6.0
Navigating the tricky world of Middle East diplomacy is tough for even the most seasoned diplomats — and Trump is very emphatically not a seasoned diplomat.,Trump,2.0
"During the presidential campaign, Trump repeatedly criticized Hillary Clinton for her ties to Saudi Arabia, noting that the Clinton Foundation had received hefty sums from Saudi donors and encouraging Clinton to return the money.",Hillary Clinton,2.0
"The next day, Trump will meet with leaders of the Gulf Cooperation Council, McMaster said.",McMaster,4.0
"In addition, Roger was a great patriot who never ceased fighting for his beliefs.""",Roger,6.0
"""A brilliant broadcaster, Roger played a huge role in shaping America's media over the last 30 years.",Roger,6.0
"He will be remembered by the many people on both sides of the camera he discovered, nurtured and promoted.""",He,6.0
"""At 21st Century Fox we will always be enormously grateful for the great business he built.",Fox,6.0
He founded Fox News in 1996 and built it into the nation's long-running No.,Fox,6.0
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",Roger Ailes,6.0
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",Roger,6.0
He later worked on Vice President George H.W. Bush’s presidential campaign.,Bush,4.0
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",He,6.0
"Not sure I would have been President w/o his great talent, loyal help.",his,6.0
"“Special Counsel Mueller will have all appropriate resources to conduct a thorough and complete investigation,” Rosenstein said in the DOJ announcement.",Mueller,6.0
"That's why the announcement by Deputy Attorney General Rod Rosenstein came as a surprise to so many people — including the White House, which was reportedly given just 30 minutes’ warning before the announcement went public.",Deputy Attorney General Rod Rosenstein,2.0
Yates: 'Flynn Was Compromised With Respect to the Russians',Flynn,2.0
Yates: 'Flynn Was Compromised With Respect to the Russians',Yates,4.0
She said she did know Flynn had shared untrue information because of phone calls intercepted by the Obama administration.,Flynn,2.0
WASHINGTON – Former Acting Attorney General Sally Yates testified Monday before a Senate subcommittee about her efforts to warn the Trump administration of misinformation put forth by former National Security Advisor Michael Flynn.,Trump,2.0
Sally Yates speaks — and the strange tale of Michael Flynn begins to unwind a little,Flynn,2.0
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,Trump,2.0
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,Flynn,2.0
"But his margin for error on Obamacare is razor-thin; Republicans can afford no more than two defections, meaning that some combination of staunch conservatives like Paul, Cruz, and Lee will have to endorse the same bill as Collins, Murkowski, and Heller, who is up for reelection in 2018 in a state Hillary Clinton carried in November.",his,2.0
"Winfrey then referenced Recy Taylor, a black woman who was abducted in 1944 in Alabama and raped by six men.",Winfrey,4.0
"Winfrey concluded, as the audience gave her a standing ovation.",Winfrey,6.0
'Oprah 2020': Winfrey's longtime boyfriend says star 'would absolutely' run for president,Winfrey,4.0
"Oprah Winfrey and partner Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22, 2015.",Winfrey,4.0
"White House senior policy adviser Stephen Miller ripped into former White House chief strategist Steve Bannon and the credibility of the the now-released tell-all book, Fire and Fury: Inside the Trump White House, noting Bannon sounds like an “angry, vindictive person” in the book.",White House senior policy adviser Stephen Miller,2.0
"Handel was the top GOP vote-getter at 20 percent, finishing comfortably ahead of technology executive Bob Gray, who received 11 percent of the vote, and former State Senators Judson Hill and Dan Moody, who each received 9 percent of the vote.",Handel,6.0
"Appearing on CNN, Ossoff admitted that he doesn't live in the 6th district as the lives with his girlfriend of 12 years (!) while she goes to medical school at Emory.",Ossoff,2.0
"Appearing on CNN, Ossoff admitted that he doesn't live in the 6th district as the lives with his girlfriend of 12 years (!) while she goes to medical school at Emory.",CNN,4.0
"Here are the top 10 anti-Trump shifts, with Georgia's 6th at No.",Trump,2.0
"Trump's ability to bring new white, working-class voters into the GOP fold actually allowed him to compete and win in more territory than Republicans are accustomed to (think Pennsylvania, Michigan and Wisconsin).",Trump,6.0
"Trump Senior Policy Adviser Stephen Miller on Wolff book: ""The book is best understood as a work of very poorly written fiction",Wolff,2.0
"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Stephens,2.0
"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Steve,2.0
"By comparing the responses between the two groups, Gervais and Najle could then estimate how many people don’t believe in God.",Gervais,4.0
"(Overall, kudos to Gervais and Najle for being forthright about their curious finding.",Najle,6.0
"(Overall, kudos to Gervais and Najle for being forthright about their curious finding.",Gervais,6.0
"Presented with this incriminating evidence, Blair confessed to being a Christian, but was quick to aver that he was a private one and thus not liable to be consigned to a mental hospital.",Blair,2.0
"Yet for Christians, the humanity of Holy Week makes our faith overlap with the world around us, just as after years of instructing his followers to stay quiet (at least in Mark) Jesus made his triumphant entrance into Jerusalem.",Jesus,6.0
Sean Spicer Under Fire After Falsely Claims Nazis Never Used Poison Gas,Spicer,2.0
"Hours later, Spicer apologized, although he made a number of mistakes during his apology, including mispronouncing Syrian President Bashar al-Assad’s name.",Spicer,2.0
"Press Secretary Sean Spicer: “You look, we didn’t use chemical weapons in World War II. You know, you had a—you know, someone as despicable as Hitler, who didn’t even sink to the—to using chemical weapons.",Hitler,2.0
White House Press Secretary Sean Spicer said Wednesday he “let the president down” comparing Adolf Hitler to Syrian leader Bashar Assad and Mr. Assad’s actions against his people.,the president,4.0
"Mr. Spicer also downplayed reports of a growing feud between Steve Bannon, the president’s chief strategist, and other members of the Trump administration.",Trump,2.0
"“In that regard, we are hopeful that we can work with Russia and use their influence to achieve areas of stabilization throughout Syria and create the conditions for a political process through Geneva in which we can engage all of the parties on the way forward, and it is through that political process that we believe the Syrian people will lawfully be able to decide the fate of Bashar al-Assad,” he added.",Russia,6.0
"“This idea that we’re going to get rid of ISIS and then we’ll hopefully use Assad and others to come up with a solution, it’s not going to work,” Rubio said.",Assad,2.0
"He is a graduate of Columbia, Harvard and Oxford, served as a Supreme Court law clerk and worked as a lawyer at a prestigious Washington law firm and at the Justice Department.",He,6.0
"But neither side harbored any doubts, based on the judge’s opinions, other writings and the president who nominated him, that Judge Gorsuch would be a reliable conservative committed to following the original understanding of those who drafted and ratified the Constitution.",Judge Gorsuch,6.0
Four reasons why Neil Gorsuch may be even better on the Supreme Court than Antonin Scalia,Gorsuch,6.0
Justice Gorsuch—like Justice Scalia before him—rejects the “living document” view.,Gorsuch,4.0
"Here are four reasons why American citizens—especially Evangelical conservatives—should consider Gorsuch’s confirmation a great victory and why he might be better even than Scalia, whose place on the bench he would take.",Gorsuch,6.0
He will defend religious liberty.,He,6.0
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",This man,2.0
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",Saudi Arabia,2.0
"In Lebanon, thank you to Yazan al-Saadi, Syrian-Canadian writer in Beirut; Alia Malek, here in New York, author of The Home That Was Our Country: A Memoir of Syria; Phyllis Bennis, fellow at the Institute for Policy Studies; and Medea Benjamin, co-founder of CodePink.",Yazan al-Saadi,6.0
"I also reached out to Sarah Binder, a professor of political science at George Washington University.","Sarah Binder, a professor of political science at George Washington University",4.0
