sentence,gold,predicted,gold_rank,error_type,predicted_score,gold_score
Winner wrote that she had a 30-minute private meeting with the Republican lawmaker’s state policy director.,Winner,Winner,1,CORRECT,0.6975683130003046,0.6975683130003046
She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.,She,Trump,3,OTHER,0.8465444022153544,0.7924917278223971
She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.,President Trump,Trump,5,SMALLER_SPAN,0.8465444022153544,0.5556025257138059
"Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.",Hillary Clinton,Infowars,2,OTHER,0.7088965817014155,0.6270824606687911
"Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.",Facebook,Infowars,3,OTHER,0.7088965817014155,0.47263434887458544
"(RELATED: The 44 Most Damning Stories From WikiLeaks) During the same event, Clinton also attacked Facebook, Twitter bots, The New York Times, Steve Bannon, and the media in general.",WikiLeaks,"bots, The New York Times, Steve Bannon, and the media",8,COORDINATION_ERROR,0.9946180091979578,0.6004472392761188
"(RELATED: The 44 Most Damning Stories From WikiLeaks) During the same event, Clinton also attacked Facebook, Twitter bots, The New York Times, Steve Bannon, and the media in general.",Clinton,"bots, The New York Times, Steve Bannon, and the media",5,COORDINATION_ERROR,0.9946180091979578,0.7642646807022322
"Hillary Clinton takes ""responsibility"" for loss, but says others contributed",Clinton,Hillary Clinton,5,LARGER_SPAN,0.7374794948218086,0.2845316661339426
"Clinton also looked to social media, saying sites like Facebook and Twitter have been ""victimized by deliberate efforts to shape the conversation and push it towards conspiracies, lies, false information.""",Clinton,Clinton,1,CORRECT,0.8350749324173306,0.8350749324173306
"Trump's unhinged Twitter attacks, frequent off-the-cuff remarks, slurring and very peculiar drinking habits have led to some psychiatrists, mental-health experts and administration critics to call the president's mental stability into question, as the Salon video below notes.",Trump,Trump,1,CORRECT,0.9126302709267345,0.9126302709267345
"Hillary Clinton continues to face fire for alleged pay-for-play schemes involving her work while secretary at the State Department and simultaneous affiliation with the Clinton Foundation, and for the curious Uranium One dealings with Russia she helped shape while serving under Barack Obama.",Hillary Clinton,Hillary Clinton,1,CORRECT,0.6141336455833658,0.6141336455833658
"“The reasons for my departure are personal, but it has been my great honor to serve President Trump and this administration,” Dubke, 47, wrote in an email to friends, according to Politico.",Trump,Trump,1,CORRECT,0.81854022181098,0.81854022181098
"President Donald Trump hurled more jabs at the ""fake news media"" Sunday morning, describing White House ""leaks"" as ""fabricated lies"" and saying stories with ""sources say"" make it ""very possible"" those ""sources don't exist"" and are made up by ""fake news writers.""",President Donald Trump,"the ""fake news media",5,OTHER,0.7957468050245514,0.4502205291778636
"It was a familiar morning for Mr. Trump on his favored medium — and for a nation that had, for a little more than a week, gone without the president’s stream-of-consciousness missives.",Mr. Trump,"Trump on his favored medium — and for a nation that had, for a little more than a week",5,OTHER,0.9999999859130231,0.77615807082943
But he seemed on Sunday to be as aggrieved as ever by what he considers unfair news coverage.,Sunday,he,4,OTHER,0.4689964220212528,0.3252361158873531
"(Reuters/Mike Segar) Kushner “has been incredibly successful, in both business and now politics.",(Reuters/Mike Segar) Kushner,"Kushner “has been incredibly successful, in both business and now politics",11,OTHER,0.9930165680091443,0.12939175127460134
"Aside from government innovation, Kushner has acted as a sort of “shadow secretary of state” in the Trump administration, a source told Politico in February.",Trump,Trump,1,CORRECT,0.8247012907727337,0.8247012907727337
“Mr. Kushner and we have been responsive to all requests.,Kushner,Kushner,1,CORRECT,0.8455497975200192,0.8455497975200192
"Kushner married Ivanka Trump, the president’s eldest daughter, in October 2009 at the Trump National Golf Club in Bedminster, N.J. Jared Kushner and Ivanka Trump, the president's daughter, married in 2009.",Trump,the Trump National Golf Club,9,LARGER_SPAN,0.9410035006563524,0.3052127329523124
Harleen Kahlon was an experienced digital media maven when she was hired by Kushner in 2010 to boost the paper’s digital outreach.,Harleen Kahlon,Harleen Kahlon,1,CORRECT,0.710196373868229,0.710196373868229
"“He would compensate his lack of knowledge by saying stuff like, ‘Let’s just blow up the whole concept of digital.’",He,He,1,CORRECT,0.6511531853486205,0.6511531853486205
"During the campaign, Mr. Gianforte embraced Mr. Trump, who won the state by more than 20 percentage points in the November election.",Mr. Gianforte,Trump,4,OTHER,0.8459137404651703,0.6510827495852374
"His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”",His,His,1,CORRECT,0.7805245108067015,0.7805245108067015
"His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”",Jacobs,His,2,OTHER,0.7805245108067015,0.7616001836278692
"He said he was approached by Jacobs, who asked questions about the Obamacare reform bill.",He,He,1,CORRECT,0.8255871438498051,0.8255871438498051
"Gianforte said he first told Jacobs he’d talk to him later, and then told Jacobs to speak with his spokesman.",Jacobs,"Jacobs he’d talk to him later, and then told Jacobs to speak with his spokesman",2,LARGER_SPAN,0.9999854270949949,0.832838959954472
"Word is, Gianforte grabbed the guy, Ben Jacobs of the Guardian, with both hands by the neck and body slammed him to the ground, where he proceeded to jump atop him and pound him with fists.",Ben Jacobs,"Ben Jacobs of the Guardian, with both hands by the neck and body slammed him to the ground",3,LARGER_SPAN,0.9999997445311057,0.7627296886959392
These mixed messages are one reason a recent poll fell from 80 percent of Israelis who believed Trump was pro-Israel to 56 percent now.,Israelis,Trump,7,OTHER,0.8335021071200394,0.16446561891261058
Yet Evans believes Trump will keep his promise.,Trump,Evans,2,OTHER,0.8873994025651122,0.8371866461270563
Navigating the tricky world of Middle East diplomacy is tough for even the most seasoned diplomats — and Trump is very emphatically not a seasoned diplomat.,Trump,Trump,1,CORRECT,0.8234699027164537,0.8234699027164537
"During the presidential campaign, Trump repeatedly criticized Hillary Clinton for her ties to Saudi Arabia, noting that the Clinton Foundation had received hefty sums from Saudi donors and encouraging Clinton to return the money.",Hillary Clinton,Trump,3,OTHER,0.8359399356145872,0.5175591277936071
